date,segment,series,usd_per_gb,n_obs,in_stock_rate
2026-08-01,ddr5_desktop,basket,18.8059,3,0.3
2026-08-01,ddr5_desktop,floor,14.3422,3,
2026-08-01,server_ecc,basket,32.6386,2,0.333
2026-08-01,server_ecc,floor,30.9025,2,
2026-08-01,sodimm,basket,10.9375,4,0.8
2026-08-01,sodimm,floor,10.9062,4,
2026-08-02,ddr4_desktop,basket,5.7498,4,0.667
2026-08-02,ddr4_desktop,floor,3.9831,4,
2026-08-02,ddr5_desktop,basket,16.5741,2,0.2
2026-08-02,ddr5_desktop,floor,14.3422,2,
2026-08-02,server_ecc,basket,32.6386,2,0.333
2026-08-02,server_ecc,floor,30.9025,2,
2026-08-02,sodimm,basket,10.9375,4,0.8
2026-08-02,sodimm,floor,10.9062,4,
2026-08-03,ddr4_desktop,basket,5.7498,4,0.667
2026-08-03,ddr4_desktop,floor,3.9831,4,
2026-08-03,ddr5_desktop,basket,18.8059,1,0.1
2026-08-03,ddr5_desktop,floor,18.8059,1,
2026-08-03,server_ecc,basket,32.6386,2,0.333
2026-08-03,server_ecc,floor,30.9025,2,
2026-08-03,sodimm,basket,11.4062,4,0.8
2026-08-03,sodimm,floor,10.9375,4,
2026-08-04,ddr4_desktop,basket,5.7498,4,0.667
2026-08-04,ddr4_desktop,floor,3.9831,4,
2026-08-04,ddr5_desktop,basket,16.4216,1,0.1
2026-08-04,ddr5_desktop,floor,16.4216,1,
2026-08-04,server_ecc,basket,32.655,3,0.5
2026-08-04,server_ecc,floor,30.9025,3,
2026-08-04,sodimm,basket,12.7109,4,0.8
2026-08-04,sodimm,floor,10.9375,4,
2026-08-05,ddr4_desktop,basket,6.4844,4,0.667
2026-08-05,ddr4_desktop,floor,3.9831,4,
2026-08-05,ddr5_desktop,basket,15.0731,2,0.2
2026-08-05,ddr5_desktop,floor,13.7247,2,
2026-08-05,server_ecc,basket,32.655,3,0.5
2026-08-05,server_ecc,floor,30.9025,3,
2026-08-05,sodimm,basket,12.5256,4,0.8
2026-08-05,sodimm,floor,10.9375,4,
2026-08-06,ddr4_desktop,basket,6.328,4,0.667
2026-08-06,ddr4_desktop,floor,3.9831,4,
2026-08-06,ddr5_desktop,basket,15.3219,2,0.2
2026-08-06,ddr5_desktop,floor,14.3422,2,
2026-08-06,server_ecc,basket,32.655,3,0.5
2026-08-06,server_ecc,floor,30.9025,3,
2026-08-06,sodimm,basket,12.0569,4,0.8
2026-08-06,sodimm,floor,10.6247,4,
